Booking_ID,Distribution_Channel,Advance_Purchase,Nightly_Rate,Purchased_Room_Type
593,CRO/Hotel,0,569.0,Suite
591,WEB,24,299.0,Special Type Room
1714,CRO/Hotel,12,279.0,King Room
538,CRO/Hotel,43,399.0,King Room
174,WEB,2,329.0,Special Type Room
1319,CRO/Hotel,14,399.0,Special Type Room
741,CRO/Hotel,36,359.0,King Room
1429,CRO/Hotel,8,359.0,Special Type Room
2096,CRO/Hotel,3,369.0,Special Type Room
109,CRO/Hotel,11,429.0,King Room
1598,GDS,9,269.0,Queen Room
541,WEB,37,324.0,Special Type Room
2066,GDS,11,259.0,Special Type Room
964,CRO/Hotel,5,439.0,King Room
2034,CRO/Hotel,12,299.0,Special Type Room
1628,WEB,6,299.0,King Room
111,CRO/Hotel,15,299.0,King Room
1148,WEB,1,269.0,Special Type Room
1409,CRO/Hotel,1,379.0,King Room
649,CRO/Hotel,11,249.0,Suite
1086,WEB,20,359.0,King Room
187,GDS,3,329.0,Special Type Room
1670,GDS,29,329.0,Queen Room
1652,WEB,8,369.0,King Room
2099,CRO/Hotel,2,399.0,King Room
98,GDS,5,499.0,Suite
1335,CRO/Hotel,1,379.0,Queen Room
1199,CRO/Hotel,0,609.0,Suite
1772,CRO/Hotel,13,399.0,Special Type Room
1224,CRO/Hotel,6,429.0,Queen Room
1000,WEB,8,429.0,Queen Room
692,CRO/Hotel,23,269.0,Special Type Room
105,CRO/Hotel,11,429.0,King Room
2056,CRO/Hotel,2,429.0,Special Type Room
1032,WEB,1,399.0,Queen Room
1939,CRO/Hotel,2,339.0,King Room
1586,GDS,21,382.33,King Room
2075,CRO/Hotel,5,409.0,Special Type Room
91,GDS,1,439.0,King Room
1771,WEB,10,399.0,King Room
1213,CRO/Hotel,20,329.0,King Room
1234,CRO/Hotel,1,499.0,King Room
1411,WEB,6,429.0,Special Type Room
1943,WEB,14,329.0,Special Type Room
441,WEB,27,315.0,King Room
1298,CRO/Hotel,0,499.0,King Room
1690,CRO/Hotel,21,359.0,Special Type Room
1654,CRO/Hotel,18,279.0,King Room
1163,WEB,2,269.0,King Room
2101,GDS,3,361.5,King Room
1572,GDS,0,489.0,King Room
1364,GDS,7,299.0,Special Type Room
1377,WEB,13,399.0,Queen Room
181,CRO/Hotel,27,399.0,King Room
1716,CRO/Hotel,11,549.0,King Room
2001,WEB,6,319.0,Special Type Room
1922,CRO/Hotel,1,329.0,Suite
1852,WEB,40,299.0,King Room
565,CRO/Hotel,6,319.0,King Room
1216,WEB,40,329.0,King Room
1549,CRO/Hotel,25,289.0,Special Type Room
718,CRO/Hotel,16,351.0,King Room
2019,CRO/Hotel,9,429.0,King Room
633,WEB,28,387.0,King Room
1651,CRO/Hotel,8,409.0,King Room
2162,CRO/Hotel,5,289.0,King Room
175,CRO/Hotel,0,289.0,Special Type Room
1356,CRO/Hotel,12,429.0,King Room
1452,CRO/Hotel,1,489.0,King Room
699,CRO/Hotel,8,299.0,Special Type Room
1693,GDS,14,363.0,King Room
2011,CRO/Hotel,3,369.0,Suite
1090,WEB,18,429.0,King Room
1211,GDS,4,299.0,King Room
2184,WEB,6,292.33,King Room
1776,GDS,21,360.0,Special Type Room
151,GDS,6,439.0,King Room
955,CRO/Hotel,10,399.0,King Room
1963,CRO/Hotel,1,462.0,Suite
2211,CRO/Hotel,28,259.0,King Room
877,CRO/Hotel,8,399.0,King Room
139,WEB,4,279.0,King Room
1680,GDS,6,389.0,King Room
1725,WEB,36,216.0,King Room
1210,GDS,4,269.0,King Room
172,CRO/Hotel,0,329.0,Special Type Room
2173,CRO/Hotel,9,359.0,King Room
1109,CRO/Hotel,0,299.0,Queen Room
1259,WEB,5,399.0,King Room
1466,WEB,11,404.0,Queen Room
1677,WEB,12,379.0,King Room
768,GDS,30,349.0,King Room
581,WEB,7,439.0,King Room
1506,CRO/Hotel,4,369.0,King Room
126,GDS,8,399.0,King Room
1969,WEB,35,339.0,Special Type Room
654,CRO/Hotel,18,329.0,King Room
2135,WEB,1,369.0,Special Type Room
1274,CRO/Hotel,3,499.0,King Room
753,CRO/Hotel,27,379.0,King Room
381,WEB,40,369.0,King Room
1639,GDS,13,269.0,King Room
1480,CRO/Hotel,6,469.0,King Room
374,CRO/Hotel,41,529.0,Suite
1353,GDS,14,399.0,Special Type Room
1589,CRO/Hotel,26,429.0,Suite
2013,CRO/Hotel,4,349.0,King Room
879,WEB,5,409.0,King Room
171,CRO/Hotel,34,270.0,Special Type Room
770,CRO/Hotel,37,429.0,King Room
862,WEB,5,399.0,King Room
1703,CRO/Hotel,11,449.0,Suite
2078,GDS,1,259.0,Special Type Room
1838,CRO/Hotel,12,359.0,Queen Room
1903,CRO/Hotel,4,379.0,King Room
1352,WEB,6,629.0,Suite
2057,WEB,6,329.0,King Room
