date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,sunrise,sunset,daylight_duration,sunshine_duration,uv_index_max,uv_index_clear_sky_max,precipitation_sum,rain_sum,showers_sum,snowfall_sum,precipitation_hours,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
2024-11-01 07:00:00+00:00,,14.75,8.75,13.0037365,5.4604597,0,0,37719.02,33239.08,2.9,2.9,0.6,,0.6,,3,58,11.792404,20.16,254.16371,10.7,2.275758
2024-11-02 07:00:00+00:00,,15.05,6.1,12.500322,0.78731537,0,0,37583.26,33003.105,2.75,2.85,0,,0,,0,10,26.903828,30.239998,282.09076,10.79,2.7114375
2024-11-03 07:00:00+00:00,,9.35,4.55,3.4119358,1.0774198,0,0,37449.203,32996.348,2.45,2.75,0,,0,,0,0,22.97522,27.359999,299.2009,8.95,1.9114413
2024-11-04 07:00:00+00:00,,9.05,3.8,4.765951,-0.043388367,0,0,37317.008,32988.156,2.8,2.8,0,,0,,0,0,9.826088,9.72,33.432575,10.17,1.7826022
2024-11-05 07:00:00+00:00,,9.8,4.5,6.3080244,1.1859179,0,0,37186.82,32877.65,2.8,2.8,0,,0,,0,0,9.605998,10.08,0.1903759,10.5,1.6796855
2024-11-06 07:00:00+00:00,,13.3,6,8.980669,2.980167,0,0,37058.82,32773.227,2.7,2.75,0,,0,,0,0,20.172853,14.4,35.73084,9.73,1.7706904
2024-11-07 07:00:00+00:00,,16.35,7.3,14.105982,5.152602,0,0,36933.156,32768.56,2.65,2.75,0,,0,,0,0,13.324863,14.4,68.8575,9.67,1.8110421
2024-11-08 07:00:00+00:00,,16.85,7.8,14.677601,1.662837,0,0,36809.42,32609.748,2.65,2.7,0,,0,,0,0,29.122198,33.839996,239.39694,9.17,2.1589856
2024-11-09 07:00:00+00:00,,12.9,7.35,10.426016,3.431363,0,0,36686.543,31880.629,2.65,2.65,0,,0,,0,0,24.162945,24.119999,214.0431,8.97,2.0958998
2024-11-10 07:00:00+00:00,,13.15,6.4,10.1342945,1.2546062,0,0,36564.61,32457.305,2.55,2.6,0,,0,,0,0,19.386593,18.72,263.45145,9.61,2.325952
2024-11-11 07:00:00+00:00,,11.15,6.6,6.8979588,2.4819322,0,0,36443.76,32222.1,2.45,2.6,0,,0,,0,0,12.522619,11.5199995,173.10101,8.99,2.0524664
2024-11-12 07:00:00+00:00,,11.4,2.652,7.26289,-0.41835332,0,0,36324.14,10800,2.15,2.5,0,,0,,0,15,10.966713,10.08,234.22725,4.92,1.1281648
2024-11-13 07:00:00+00:00,3,12.202,0.302,9.174863,-3.0582337,0,0,36205.89,29032.434,2.4,2.5,0,0,0,0,0,5,7.342588,15.119999,140.90614,10.55,1.4169396
2024-11-14 07:00:00+00:00,3,13.352,2.302,10.529601,-2.8643117,0,0,36089.156,28800,2.4,2.45,0,0,0,0,0,10,28.66694,43.56,245.64365,9.62,1.7930288
2024-11-15 07:00:00+00:00,3,6.202,-0.048,-0.7555828,-5.1586275,0,0,35974.082,28219.64,2.45,2.45,0,0,0,0,0,3,24.522316,38.519997,270.751,10.78,2.252822
