Nightly_Rate,Arrival_Rate,Room_Type_encoded,Purchased_Room_Type_encoded
339.0,509.0,3,1
399.0,399.0,2,0
299.0,369.0,0,0
399.0,439.0,0,2
429.0,429.0,3,3
269.0,299.0,2,0
399.0,399.0,0,0
299.0,429.0,1,0
429.0,429.0,2,2
439.0,399.0,1,0
399.0,399.0,2,2
279.0,289.0,2,0
359.0,329.0,0,3
399.0,399.0,2,2
269.0,269.0,2,2
469.0,429.0,0,1
289.0,289.0,2,2
329.0,329.0,2,2
509.0,329.0,0,3
399.0,399.0,2,1
319.0,389.0,3,2
387.0,567.0,3,0
364.0,359.0,2,0
399.0,399.0,2,0
299.0,299.0,2,2
259.0,259.0,2,2
259.0,359.0,3,2
337.0,337.0,3,3
405.0,432.0,0,0
299.0,299.0,1,2
399.0,399.0,2,3
269.0,329.0,0,0
359.0,359.0,1,1
409.0,449.0,3,0
269.0,369.0,3,1
379.0,379.0,1,0
409.0,449.0,3,0
409.0,409.0,0,0
259.0,459.0,3,2
319.0,289.0,0,2
389.0,389.0,0,0
339.0,339.0,0,0
329.0,299.0,1,2
339.0,369.0,0,2
399.0,459.0,3,0
357.75,270.0,1,0
479.0,329.0,0,3
360.0,360.0,0,0
299.0,299.0,0,0
339.0,469.0,3,0
399.0,439.0,2,0
399.0,369.0,2,0
225.0,429.0,0,2
449.0,489.0,0,2
324.0,324.0,1,2
399.0,359.0,2,0
469.0,459.0,1,3
299.0,479.0,3,0
366.5,419.0,3,2
299.0,339.0,0,0
337.0,429.0,0,3
329.0,499.0,3,2
360.0,360.0,0,0
396.0,387.0,2,2
329.0,329.0,0,0
399.0,399.0,2,1
339.0,329.0,0,0
459.0,309.0,1,3
399.0,509.0,3,0
259.0,509.0,3,2
379.0,409.0,0,0
399.0,429.0,1,0
429.0,459.0,0,2
369.0,329.0,2,0
379.0,469.0,3,0
289.0,269.0,1,2
399.0,359.0,1,0
462.0,439.0,0,3
429.0,459.0,1,0
419.0,349.0,2,3
289.0,289.0,1,0
409.0,409.0,0,2
299.0,369.0,0,0
459.0,518.0,3,0
339.0,299.0,0,0
409.0,399.0,0,0
259.0,289.0,0,0
499.0,499.0,3,3
351.0,499.0,0,0
261.0,261.0,2,2
429.0,429.0,0,0
309.0,279.0,0,0
329.0,369.0,0,0
387.0,387.0,0,0
269.0,369.0,3,0
360.0,360.0,0,0
429.0,509.0,3,0
299.0,429.0,1,0
399.0,399.0,0,0
319.0,359.0,0,0
349.0,419.0,3,2
366.5,366.5,2,2
379.0,379.0,0,0
229.0,259.0,0,0
399.0,449.0,0,3
289.0,329.0,0,0
329.0,329.0,2,0
329.0,369.0,0,2
469.0,469.0,0,0
329.0,499.0,3,0
379.0,289.0,1,0
404.0,404.0,0,0
324.0,324.0,2,0
429.0,629.0,3,0
229.0,609.0,3,0
559.0,459.0,0,3
279.0,309.0,0,2
429.0,429.0,2,1
319.0,279.0,1,0
299.0,299.0,0,0
359.0,329.0,1,2
309.0,489.0,3,0
299.0,339.0,0,2
299.0,369.0,0,0
289.0,459.0,3,0
269.0,289.0,2,0
409.0,349.0,1,0
309.0,289.0,0,0
297.0,297.0,0,2
389.0,389.0,0,0
369.0,369.0,3,3
336.86,423.0,0,0
329.0,269.0,1,0
270.0,450.0,3,0
399.0,429.0,0,0
349.0,409.0,0,1
369.0,469.0,0,3
429.0,529.0,3,0
309.0,309.0,1,2
429.0,429.0,1,0
385.66,359.0,1,2
429.0,329.0,1,3
329.0,299.0,0,0
329.0,429.0,3,1
329.0,299.0,1,2
379.0,449.0,3,1
399.0,399.0,1,1
509.0,509.0,3,3
299.0,269.0,2,0
429.0,629.0,3,2
329.0,329.0,1,2
269.0,339.0,0,2
439.0,339.0,3,3
399.0,539.0,3,3
519.0,519.0,3,3
369.0,369.0,1,2
399.0,399.0,1,1
529.0,359.0,2,3
319.0,319.0,2,0
429.0,429.0,0,0
399.0,399.0,2,0
329.0,289.0,2,0
369.0,369.0,0,0
334.0,334.0,2,2
469.0,469.0,0,0
479.0,429.0,0,0
439.0,529.0,3,3
329.0,299.0,0,0
299.0,299.0,2,0
299.0,299.0,2,0
319.0,319.0,0,0
399.0,429.0,0,2
429.0,459.0,0,2
216.75,216.75,2,2
269.0,329.0,0,0
339.0,509.0,3,2
399.0,369.0,0,2
329.0,359.0,2,0
269.0,299.0,0,2
409.0,379.0,1,0
329.0,269.0,0,0
299.0,299.0,2,0
404.0,409.0,0,2
469.0,429.0,2,0
289.0,289.0,1,0
324.0,477.0,3,0
297.0,333.0,0,2
439.0,439.0,0,0
333.0,423.0,3,3
349.0,479.0,3,2
359.0,329.0,0,0
329.0,329.0,0,0
369.0,339.0,0,3
269.0,269.0,0,0
249.0,309.0,0,0
399.0,399.0,2,0
309.0,369.0,0,0
359.0,559.0,3,0
297.0,324.0,2,1
439.0,399.0,2,0
385.66,559.0,3,2
399.0,399.0,1,0
389.0,679.0,3,2
279.0,279.0,0,0
409.0,439.0,0,0
359.0,559.0,3,0
529.0,359.0,0,3
489.0,489.0,3,3
289.0,289.0,2,0
159.0,349.0,0,0
339.0,299.0,0,0
289.0,289.0,1,2
389.0,379.0,0,2
333.0,360.0,2,0
429.0,469.0,0,2
299.0,249.0,1,0
279.0,299.0,2,0
299.0,299.0,2,0
469.0,669.0,3,2
379.0,399.0,2,0
259.0,399.0,0,3
429.0,429.0,1,1
357.75,243.0,0,0
360.0,270.0,1,3
299.0,369.0,3,0
399.0,399.0,0,0
249.0,249.0,3,3
429.0,439.0,2,0
499.0,439.0,0,3
469.0,469.0,3,3
389.0,389.0,1,2
270.0,270.0,0,0
399.0,359.0,2,0
409.0,489.0,3,2
399.0,529.0,3,0
439.0,399.0,1,0
319.0,289.0,1,0
429.0,399.0,2,0
333.0,306.0,0,3
399.0,429.0,0,2
324.0,387.0,3,2
459.0,429.0,2,0
360.0,477.0,3,0
269.0,469.0,3,2
469.0,459.0,1,2
329.0,369.0,0,2
315.0,342.0,0,2
289.0,269.0,0,2
549.0,379.0,2,3
299.0,299.0,2,2
429.0,429.0,0,0
339.0,339.0,0,0
369.0,369.0,2,0
159.0,329.0,2,0
299.0,369.0,0,2
299.0,339.0,0,2
429.0,399.0,2,0
439.0,269.0,2,3
299.0,399.0,3,0
389.0,389.0,0,0
289.0,289.0,1,2
429.0,429.0,2,0
329.0,329.0,0,0
389.0,389.0,3,3
269.0,269.0,0,0
319.0,319.0,1,0
399.0,369.0,0,0
273.0,269.0,0,2
469.0,469.0,0,0
469.0,469.0,0,0
289.0,369.0,3,2
499.0,579.0,3,2
309.0,309.0,0,2
579.0,379.0,1,3
329.0,289.0,2,0
297.0,297.0,1,2
249.0,449.0,3,0
349.0,379.0,0,0
389.0,389.0,1,1
259.0,399.0,0,3
419.0,389.0,2,0
289.0,359.0,3,0
339.0,509.0,3,0
429.0,629.0,3,0
333.0,360.0,1,0
369.0,399.0,3,0
